"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2019","57.89","57.87","57.97","57.35","15.41M","-0.53%"
"Nov 12, 2019","58.20","58.40","58.80","58.03","11.95M","-0.26%"
"Nov 11, 2019","58.35","57.97","58.50","57.90","11.24M","0.14%"
"Nov 08, 2019","58.27","57.85","58.30","57.31","11.89M","0.38%"
"Nov 07, 2019","58.05","58.00","58.55","57.85","16.96M","0.78%"
"Nov 06, 2019","57.60","57.49","57.71","56.98","17.72M","0.09%"
"Nov 05, 2019","57.55","57.47","58.35","57.21","20.87M","-0.10%"
"Nov 04, 2019","57.61","56.93","57.80","56.85","19.07M","1.95%"
"Nov 01, 2019","56.51","55.94","56.65","55.62","17.95M","-0.04%"
"Oct 31, 2019","56.53","56.33","56.60","55.62","19.25M","-0.12%"
"Oct 30, 2019","56.60","56.32","56.63","55.62","15.25M","0.46%"
"Oct 29, 2019","56.34","56.37","57.24","56.24","18.16M","-0.74%"
"Oct 28, 2019","56.76","56.38","56.81","56.06","32.31M","0.53%"
"Oct 25, 2019","56.46","54.19","56.61","53.92","59.77M","8.10%"
"Oct 24, 2019","52.23","52.09","52.43","51.43","25.65M","0.99%"
"Oct 23, 2019","51.72","51.37","51.96","51.20","15.96M","-0.56%"
"Oct 22, 2019","52.01","51.90","52.32","51.89","13.35M","-0.23%"
"Oct 21, 2019","52.13","51.52","52.17","51.34","13.12M","1.50%"
"Oct 18, 2019","51.36","51.75","51.82","51.03","16.98M","-0.96%"
"Oct 17, 2019","51.86","52.63","52.84","51.38","16.92M","-1.12%"
"Oct 16, 2019","52.45","52.35","52.56","52.12","15.17M","-0.38%"
"Oct 15, 2019","52.65","51.93","53.07","51.83","18.97M","1.96%"
"Oct 14, 2019","51.64","51.90","51.95","51.44","16.43M","-0.86%"
"Oct 11, 2019","52.09","52.00","52.79","51.82","24.17M","1.92%"
"Oct 10, 2019","51.11","50.41","51.77","50.40","14.61M","1.25%"
"Oct 09, 2019","50.48","50.47","50.79","50.15","12.19M","1.51%"
"Oct 08, 2019","49.73","50.16","50.48","49.61","17.88M","-1.76%"
"Oct 07, 2019","50.62","50.70","51.23","50.56","12.72M","-0.59%"
"Oct 04, 2019","50.92","50.35","50.97","50.03","12.75M","1.78%"
"Oct 03, 2019","50.03","49.50","50.07","48.53","17.24M","1.30%"
"Oct 02, 2019","49.39","50.31","50.37","48.98","21.44M","-2.70%"
"Oct 01, 2019","50.76","51.97","52.24","50.43","18.49M","-1.49%"
"Sep 30, 2019","51.53","51.19","51.59","50.94","14.06M","1.48%"
"Sep 27, 2019","50.78","50.63","51.22","50.34","14.85M","-0.27%"
"Sep 26, 2019","50.92","50.98","51.15","50.34","11.48M","-0.20%"
"Sep 25, 2019","51.02","49.75","51.21","49.42","20.12M","2.41%"
"Sep 24, 2019","49.82","51.10","51.18","49.64","28.47M","-2.12%"
"Sep 23, 2019","50.90","50.83","51.23","50.39","21.57M","0.35%"
"Sep 20, 2019","50.72","51.60","51.88","50.56","38.63M","-1.65%"
"Sep 19, 2019","51.57","51.70","51.99","51.50","11.85M","-0.33%"
"Sep 18, 2019","51.74","52.13","52.13","51.16","15.03M","-0.40%"
"Sep 17, 2019","51.95","52.05","52.14","51.35","19.89M","-0.48%"
"Sep 16, 2019","52.20","51.90","52.28","51.70","13.35M","-0.65%"
"Sep 13, 2019","52.54","52.76","53.00","52.23","18.01M","-0.89%"
"Sep 12, 2019","53.01","53.00","53.33","52.06","23.31M","0.42%"
"Sep 11, 2019","52.79","51.60","52.79","51.38","18.97M","1.87%"
"Sep 10, 2019","51.82","51.33","51.84","50.83","18.53M","0.45%"
"Sep 09, 2019","51.59","51.06","52.03","51.02","20.75M","1.32%"
"Sep 06, 2019","50.92","50.25","50.99","50.07","17.07M","1.64%"
"Sep 05, 2019","50.10","49.92","51.17","49.87","30.02M","2.41%"
"Sep 04, 2019","48.92","47.56","48.95","47.54","23.47M","4.13%"
"Sep 03, 2019","46.98","47.12","47.22","46.49","15.01M","-0.91%"
"Aug 30, 2019","47.41","47.24","47.79","47.16","16.92M","1.15%"
"Aug 29, 2019","46.87","46.46","47.22","46.40","17.81M","2.36%"
"Aug 28, 2019","45.79","45.70","45.91","45.37","14.90M","0.00%"
"Aug 27, 2019","45.79","45.87","46.12","45.50","16.93M","0.50%"
"Aug 26, 2019","45.56","45.82","45.82","45.25","22.09M","1.33%"
"Aug 23, 2019","44.96","46.35","46.63","44.80","32.82M","-3.89%"
"Aug 22, 2019","46.78","47.28","47.43","46.69","19.79M","-0.78%"
"Aug 21, 2019","47.15","47.11","47.29","46.89","15.92M","1.18%"
"Aug 20, 2019","46.60","47.03","47.12","46.46","23.12M","-1.33%"
"Aug 19, 2019","47.23","47.46","47.60","47.04","21.40M","1.57%"
"Aug 16, 2019","46.50","46.34","46.68","46.06","23.34M","1.75%"
